date,strategy,symbol,side,signed_weight,entry_price,best_price,funding_rate_daily,funding_model
2026-09-11,V12_LS_50_50,EDEN,SHORT,-0.05,0.0492,0.04784,0.00030000000000000003,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
2026-09-11,V12_LS_50_50,NEAR,LONG,0.05,2.441,2.728,0.00030000000000000003,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
2026-09-11,V12_LS_50_50,VVV,LONG,0.05,22.645,27.092,0.0004899899816267,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
2026-09-11,V12_LS_50_50,ZEN,LONG,0.05,6.527,6.948,0.0001927360616143,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
2026-09-11,V12_LS_50_50_StopVol,CAP,SHORT,-0.025544162895506917,0.0466,0.04302,4.897253098710001e-05,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
2026-09-11,V12_LS_50_50_StopVol,CASHCAT,SHORT,-0.013667406487481597,0.16376,0.15548,0.00032250019999999994,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
2026-09-11,V12_LS_50_50_StopVol,EDEN,SHORT,-0.013866856727429544,0.0492,0.04784,0.00030000000000000003,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
2026-09-11,V12_LS_50_50_StopVol,NEAR,LONG,0.040441961738532636,2.441,2.728,0.00030000000000000003,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
2026-09-11,V12_LS_50_50_StopVol,VVV,LONG,0.023040910712974386,22.645,27.092,0.0004899899816267,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
2026-09-11,V12_LS_50_50_StopVol,ZEN,LONG,0.030018526792872542,6.527,6.948,0.0001927360616143,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
2026-09-11,V12_LS_70_30,CAP,SHORT,-0.03,0.0466,0.04302,4.897253098710001e-05,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
2026-09-11,V12_LS_70_30,CASHCAT,SHORT,-0.03,0.16376,0.15548,0.00032250019999999994,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
2026-09-11,V12_LS_70_30,EDEN,SHORT,-0.03,0.0492,0.04784,0.00030000000000000003,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
2026-09-11,V12_LS_70_30,NEAR,LONG,0.06999999999999999,2.441,2.728,0.00030000000000000003,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
2026-09-11,V12_LS_70_30,VVV,LONG,0.06999999999999999,22.645,27.092,0.0004899899816267,OBSERVED_PER_PINNED_VENUE_SUMMED_TO_THE_UTC_DAY_OF_SETTLEMENT
