date,strategy,symbol,event,side,price,entry_price,signed_weight,stop_level,take_level,stop_pct,take_pct,trailing_pct
2026-09-09,V12_LS_70_30_StopVol,UNI,STOP_INTRADAY,LONG,6.574995615282654,6.854,0.0488027529570497,6.574995615282654,8.814024125348856,,,
2026-09-09,V12_LS_70_30_StopVol,USELESS,STOP_INTRADAY,LONG,0.2346375,0.23035,0.016341362741115913,0.2346375,0.39159499999999997,,,
2026-09-10,V12_LS_50_50,DASH,STOP_INTRADAY,LONG,58.347594704796144,62.84,0.05,58.347594704796144,88.10355934441645,,,
2026-09-10,V12_LS_50_50,DOT,ENTRY,LONG,1.1212,1.1212,0.05,,,0.1306423169000429,0.2612846338000858,0.07838539014002574
2026-09-10,V12_LS_50_50,HOME,STOP_GAP,SHORT,0.005686,0.006045,-0.05,0.0055947316266780935,0.004565329570690026,,,
2026-09-10,V12_LS_50_50,LIT,STOP_GAP,LONG,4.5258,4.718,0.05,4.851131829158361,6.126378801262973,,,
2026-09-10,V12_LS_50_50,PAXG,REBALANCE_EXIT,SHORT,4391.0,4421.3,-0.05,,,,,
2026-09-10,V12_LS_50_50,SIGN,ENTRY,LONG,0.010939,0.010939,0.05,,,0.07349750795999402,0.14699501591998804,0.04409850477599642
2026-09-10,V12_LS_50_50,SIGN,STOP_INTRADAY,LONG,0.010456606456255376,0.010939,0.05,0.010456606456255376,0.012546978479148749,,,
2026-09-10,V12_LS_50_50,TRIA,STOP_GAP,SHORT,0.003536,0.004378,-0.05,0.003463408599188658,0.002235347850719709,,,
2026-09-10,V12_LS_50_50,VVV,ENTRY,LONG,22.645,22.645,0.05,,,0.21805518674402607,0.43611037348805215,0.13083311204641562
2026-09-10,V12_LS_50_50,ZEC,STOP_INTRADAY,LONG,1145.5353282622339,1139.94,0.05,1145.5353282622339,1588.8507464735676,,,
2026-09-10,V12_LS_50_50_StopVol,DASH,STOP_INTRADAY,LONG,58.347594704796144,62.84,0.024570525529163893,58.347594704796144,88.10355934441645,,,
2026-09-10,V12_LS_50_50_StopVol,DOT,ENTRY,LONG,1.1212,1.1212,0.03827243820105856,,,0.1306423169000429,0.2612846338000858,0.07838539014002574
2026-09-10,V12_LS_50_50_StopVol,HOME,STOP_GAP,SHORT,0.005686,0.006045,-0.04173639633601505,0.0055947316266780935,0.004565329570690026,,,
2026-09-10,V12_LS_50_50_StopVol,LIT,STOP_GAP,LONG,4.5258,4.718,0.03353991839153908,4.851131829158361,6.126378801262973,,,
2026-09-10,V12_LS_50_50_StopVol,PAXG,REBALANCE_EXIT,SHORT,4391.0,4421.3,-0.05,,,,,
2026-09-10,V12_LS_50_50_StopVol,SIGN,ENTRY,LONG,0.010939,0.010939,0.05,,,0.07349750795999402,0.14699501591998804,0.04409850477599642
2026-09-10,V12_LS_50_50_StopVol,SIGN,STOP_INTRADAY,LONG,0.010456606456255376,0.010939,0.05,0.010456606456255376,0.012546978479148749,,,
2026-09-10,V12_LS_50_50_StopVol,TRIA,STOP_GAP,SHORT,0.003536,0.004378,-0.020434596877060597,0.003463408599188658,0.002235347850719709,,,
2026-09-10,V12_LS_50_50_StopVol,VVV,ENTRY,LONG,22.645,22.645,0.022929975088689252,,,0.21805518674402607,0.43611037348805215,0.13083311204641562
2026-09-10,V12_LS_50_50_StopVol,ZEC,STOP_INTRADAY,LONG,1145.5353282622339,1139.94,0.025652173399001738,1145.5353282622339,1588.8507464735676,,,
2026-09-10,V12_LS_70_30,DASH,STOP_INTRADAY,LONG,58.347594704796144,62.84,0.06999999999999999,58.347594704796144,88.10355934441645,,,
2026-09-10,V12_LS_70_30,DOT,ENTRY,LONG,1.1212,1.1212,0.06999999999999999,,,0.1306423169000429,0.2612846338000858,0.07838539014002574
2026-09-10,V12_LS_70_30,HOME,STOP_GAP,SHORT,0.005686,0.006045,-0.03,0.0055947316266780935,0.004565329570690026,,,
2026-09-10,V12_LS_70_30,LIT,STOP_GAP,LONG,4.5258,4.718,0.06999999999999999,4.851131829158361,6.126378801262973,,,
2026-09-10,V12_LS_70_30,PAXG,REBALANCE_EXIT,SHORT,4391.0,4421.3,-0.03,,,,,
2026-09-10,V12_LS_70_30,SIGN,ENTRY,LONG,0.010939,0.010939,0.06999999999999999,,,0.07349750795999402,0.14699501591998804,0.04409850477599642
2026-09-10,V12_LS_70_30,SIGN,STOP_INTRADAY,LONG,0.010456606456255376,0.010939,0.06999999999999999,0.010456606456255376,0.012546978479148749,,,
2026-09-10,V12_LS_70_30,TRIA,STOP_GAP,SHORT,0.003536,0.004378,-0.03,0.003463408599188658,0.002235347850719709,,,
2026-09-10,V12_LS_70_30,VVV,ENTRY,LONG,22.645,22.645,0.06999999999999999,,,0.21805518674402607,0.43611037348805215,0.13083311204641562
2026-09-10,V12_LS_70_30,ZEC,STOP_INTRADAY,LONG,1145.5353282622339,1139.94,0.06999999999999999,1145.5353282622339,1588.8507464735676,,,
2026-09-10,V12_LS_70_30_StopVol,DASH,STOP_INTRADAY,LONG,58.347594704796144,62.84,0.034398735740829446,58.347594704796144,88.10355934441645,,,
2026-09-10,V12_LS_70_30_StopVol,DOT,ENTRY,LONG,1.1212,1.1212,0.053581413481481974,,,0.1306423169000429,0.2612846338000858,0.07838539014002574
2026-09-10,V12_LS_70_30_StopVol,HOME,STOP_GAP,SHORT,0.005686,0.006045,-0.025041837801609027,0.0055947316266780935,0.004565329570690026,,,
2026-09-10,V12_LS_70_30_StopVol,LIT,STOP_GAP,LONG,4.5258,4.718,0.04695588574815471,4.851131829158361,6.126378801262973,,,
2026-09-10,V12_LS_70_30_StopVol,PAXG,REBALANCE_EXIT,SHORT,4391.0,4421.3,-0.03,,,,,
2026-09-10,V12_LS_70_30_StopVol,SIGN,ENTRY,LONG,0.010939,0.010939,0.06999999999999999,,,0.07349750795999402,0.14699501591998804,0.04409850477599642
2026-09-10,V12_LS_70_30_StopVol,SIGN,STOP_INTRADAY,LONG,0.010456606456255376,0.010939,0.06999999999999999,0.010456606456255376,0.012546978479148749,,,
