timestamp,open,high,low,close,volume,symbol,coin,interval,source,venue
2026-05-19T14:00:00Z,84.769,84.909,83.665,84.069,144335.83,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2026-05-19T15:00:00Z,84.06,84.53,83.99,84.319,94873.51,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2026-05-19T16:00:00Z,84.32,84.872,84.111,84.822,66788.44,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2026-05-19T17:00:00Z,84.822,85.0,84.438,84.654,45386.93,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2026-05-19T18:00:00Z,84.649,84.786,84.215,84.335,57066.65,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2026-05-19T19:00:00Z,84.335,84.703,84.198,84.316,54142.56,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2026-05-19T20:00:00Z,84.315,84.567,84.275,84.502,29762.07,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2026-05-19T21:00:00Z,84.503,84.626,84.373,84.415,33495.43,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2026-05-19T22:00:00Z,84.419,84.419,84.0,84.099,60238.4,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2026-05-19T23:00:00Z,84.095,84.575,84.02,84.258,51401.11,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2026-05-20T00:00:00Z,84.269,84.369,83.91,84.2,47248.87,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2026-05-20T01:00:00Z,84.208,84.498,83.833,84.339,49329.18,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2026-05-20T02:00:00Z,84.338,84.464,83.894,83.942,88096.78,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2026-05-20T03:00:00Z,83.945,84.221,83.829,84.048,65445.92,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2026-05-20T04:00:00Z,84.065,84.174,83.85,84.174,20311.61,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2026-05-20T05:00:00Z,84.176,84.914,84.176,84.725,166321.14,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
2026-05-20T06:00:00Z,84.725,84.98,84.7,84.947,55618.82,SOL-USDC-PERP,SOL,1h,HYPERLIQUID_PUBLIC_CANDLES_RESEARCH_ONLY,HYPERLIQUID
