timestamp,open,high,low,close,volume,symbol,interval,source
2026-03-06T06:00:00Z,70436.18000000,70853.37000000,70261.23000000,70597.23000000,672.31367000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-06T07:00:00Z,70597.23000000,71192.76000000,70468.97000000,71056.44000000,782.05786000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-06T08:00:00Z,71056.44000000,71067.58000000,70735.85000000,70789.49000000,569.42569000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-06T09:00:00Z,70789.49000000,70808.65000000,70300.00000000,70565.56000000,637.97560000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-06T10:00:00Z,70565.56000000,70800.00000000,70467.88000000,70527.93000000,469.81877000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-06T11:00:00Z,70527.93000000,70643.27000000,70184.01000000,70212.95000000,763.93539000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-06T12:00:00Z,70212.94000000,70224.84000000,69660.00000000,69907.00000000,1907.43626000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-06T13:00:00Z,69907.00000000,70341.76000000,69208.00000000,69208.00000000,2069.72961000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-06T14:00:00Z,69213.18000000,69273.87000000,68176.47000000,68409.89000000,3148.50679000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-06T15:00:00Z,68409.89000000,69100.00000000,68306.00000000,68504.71000000,1428.68549000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-06T16:00:00Z,68504.71000000,68795.44000000,68222.00000000,68446.52000000,955.00949000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-06T17:00:00Z,68446.52000000,68642.69000000,67744.78000000,67955.10000000,1236.78923000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-06T18:00:00Z,67955.10000000,68476.47000000,67955.10000000,68181.20000000,514.98068000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-06T19:00:00Z,68181.20000000,68485.01000000,68004.15000000,68131.79000000,617.63492000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-06T20:00:00Z,68131.79000000,68285.71000000,67777.00000000,68111.03000000,668.61830000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-06T21:00:00Z,68111.03000000,68333.33000000,67919.72000000,68289.10000000,604.80896000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-06T22:00:00Z,68289.11000000,68440.92000000,68221.38000000,68319.89000000,304.91261000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-06T23:00:00Z,68319.90000000,68371.24000000,68105.71000000,68114.02000000,611.37569000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
