family,asset,param,horizon,qualified,reasons,n,net,stress,delay,top5,sample
H163,WIN,z1.5_riskoff,120,False,SIDES|CALENDAR,104,5.242030382816822,4.242030382816822,4.932055041311655,0.2394989100269025,DISCOVERY
H163,WDO,z1.0_inverse,60,False,CALENDAR,357,2.6664776223634035,1.6664776223634032,2.473381726205964,0.08998017881523594,REPLICATION
H163,WDO,z1.0_inverse,120,False,CALENDAR,357,3.1224151870846746,2.1224151870846746,1.8850652411322022,0.07613429851934167,REPLICATION
H163,WDO,z1.0_stress,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,357,-5.666477622363404,-6.666477622363404,-5.4733817262059645,0.09038204028220632,REPLICATION
H163,WDO,z1.0_stress,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,357,-6.122415187084674,-7.122415187084675,-4.885065241132201,0.094325747298134,REPLICATION
H163,WDO,z1.5_inverse,60,False,CALENDAR,243,2.955104926412624,1.9551049264126241,2.0652174408200192,0.10375139943514972,REPLICATION
H163,WDO,z1.5_inverse,120,False,CALENDAR,243,2.7162964567091596,1.7162964567091596,0.2411075374729006,0.10336817423277618,REPLICATION
H163,WDO,z1.5_stress,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,243,-5.955104926412624,-6.955104926412624,-5.065217440820018,0.1252183740601601,REPLICATION
H163,WDO,z1.5_stress,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,243,-5.716296456709159,-6.716296456709159,-3.241107537472901,0.13189549106946094,REPLICATION
H163,WIN,z1.0_inverse,60,False,EDGE|STRESS|SIDES|CALENDAR,357,-2.0587304396661104,-3.0587304396661104,0.16793439454595682,0.10667222983978995,REPLICATION
H163,WIN,z1.0_inverse,120,False,EDGE|STRESS|SIDES|CALENDAR,357,-1.9787419893501033,-2.9787419893501026,0.49378950299214885,0.09423005120219861,REPLICATION
H163,WIN,z1.0_riskoff,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,357,-1.9412695603338899,-2.941269560333889,-4.1679343945459575,0.10161092060674178,REPLICATION
H163,WIN,z1.0_riskoff,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,357,-2.021258010649896,-3.021258010649896,-4.493789502992149,0.0891061267972251,REPLICATION
H163,WIN,z1.5_inverse,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,243,-5.030217967569098,-6.030217967569098,-1.403744811696689,0.13399483408579,REPLICATION
H163,WIN,z1.5_inverse,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,243,-7.62652010187594,-8.62652010187594,-3.1994599977647042,0.13764915433259325,REPLICATION
H163,WIN,z1.5_riskoff,60,False,DELAY|SIDES|CALENDAR,243,1.0302179675690988,0.0302179675690992,-2.596255188303311,0.13589739196642114,REPLICATION
H163,WIN,z1.5_riskoff,120,False,DELAY|SIDES|CALENDAR,243,3.62652010187594,2.62652010187594,-0.8005400022352973,0.119012832367565,REPLICATION
H164,WDO,z1.0_inverse,60,True,,194,5.201884633133538,4.201884633133538,5.346232431526834,0.14342347661437682,DISCOVERY
H164,WDO,z1.0_inverse,120,True,,194,7.072239852385382,6.072239852385382,8.201631739586947,0.16243066790625468,DISCOVERY
H164,WDO,z1.0_stress,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,194,-8.201884633133538,-9.201884633133538,-8.346232431526836,0.24551558384557504,DISCOVERY
H164,WDO,z1.0_stress,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,194,-10.072239852385383,-11.072239852385383,-11.201631739586947,0.21222245728996594,DISCOVERY
H164,WDO,z1.5_inverse,60,False,SIDES,121,3.0362114098206487,2.0362114098206483,2.6694200871680733,0.2248745112531782,DISCOVERY
H164,WDO,z1.5_inverse,120,False,SIDES|CALENDAR,121,4.525016194381407,3.525016194381408,5.285377321388172,0.251143388700085,DISCOVERY
H164,WDO,z1.5_stress,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,121,-6.036211409820648,-7.036211409820648,-5.669420087168073,0.3374354679977521,DISCOVERY
H164,WDO,z1.5_stress,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,121,-7.525016194381409,-8.525016194381408,-8.285377321388173,0.2732192514804399,DISCOVERY
H164,WIN,z1.0_inverse,60,False,CALENDAR,194,2.7880492545788544,1.7880492545788547,0.9557567822208085,0.13026254230037845,DISCOVERY
H164,WIN,z1.0_inverse,120,False,CALENDAR,194,8.462658363361244,7.462658363361245,7.06021450652657,0.13007417428928156,DISCOVERY
H164,WIN,z1.0_riskoff,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,194,-6.788049254578855,-7.788049254578855,-4.955756782220808,0.19940098324777863,DISCOVERY
H164,WIN,z1.0_riskoff,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,194,-12.462658363361244,-13.462658363361243,-11.06021450652657,0.18748889771588334,DISCOVERY
H164,WIN,z1.5_inverse,60,False,CALENDAR,121,2.261155136200007,1.261155136200007,0.8457534016903242,0.17596293476091848,DISCOVERY
H164,WIN,z1.5_inverse,120,False,CALENDAR,121,10.447675258703931,9.447675258703931,9.705655227266401,0.1893509361773855,DISCOVERY
H164,WIN,z1.5_riskoff,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,121,-6.261155136200006,-7.261155136200006,-4.845753401690325,0.27221310404778715,DISCOVERY
H164,WIN,z1.5_riskoff,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,121,-14.447675258703935,-15.447675258703931,-13.705655227266401,0.28596340752142174,DISCOVERY
H164,WDO,z1.0_inverse,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,423,-1.8593589496777636,-2.8593589496777634,-5.015945355681612,0.08281724740495143,REPLICATION
H164,WDO,z1.0_inverse,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,423,-2.2755304429615104,-3.2755304429615104,-4.9582949190754855,0.08420296909134016,REPLICATION
H164,WDO,z1.0_stress,60,False,EDGE|STRESS|SIDES|CALENDAR,423,-1.1406410503222366,-2.140641050322237,2.0159453556816116,0.10629065892434125,REPLICATION
H164,WDO,z1.0_stress,120,False,EDGE|STRESS|SIDES|CALENDAR,423,-0.7244695570384898,-1.72446955703849,1.958294919075486,0.08955997480169865,REPLICATION
H164,WDO,z1.5_inverse,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,292,-1.0866614205736,-2.0866614205736003,-5.2133374125632646,0.10998608932274538,REPLICATION
H164,WDO,z1.5_inverse,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,292,-2.904741632773144,-3.904741632773144,-5.125180979614906,0.11398743079089885,REPLICATION
H164,WDO,z1.5_stress,60,False,EDGE|STRESS|SIDES|CALENDAR,292,-1.9133385794264,-2.9133385794264006,2.213337412563265,0.13813838140787152,REPLICATION
H164,WDO,z1.5_stress,120,False,EDGE|STRESS|SIDES|CALENDAR,292,-0.095258367226856,-1.095258367226856,2.125180979614906,0.12277577592218623,REPLICATION
H164,WIN,z1.0_inverse,60,False,DELAY|CALENDAR,423,1.5111433076761676,0.5111433076761677,-4.127937090760814,0.0905671197084176,REPLICATION
H164,WIN,z1.0_inverse,120,False,DELAY|SIDES|CALENDAR,423,2.16410445657984,1.1641044565798402,-2.1109120179978773,0.08727660715412533,REPLICATION
H164,WIN,z1.0_riskoff,60,False,EDGE|STRESS|SIDES|CALENDAR,423,-5.511143307676167,-6.511143307676168,0.12793709076081422,0.11235909392809801,REPLICATION
